"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-05-04","95.2","-1.47","5.82","Whitlock, Garrett",642180,676477,"strikeout","swinging_strike",,,,,"11","Tyler Wade strikes out swinging.","R","L","R","BOS","LAA","S","2",,"2","2",2022,"-0.87","1.53","-0.05","3.65",,,,"2","5","Top",,,,,"543877",,,5.824756828722119,-138.6374052081542,-3.596460557662511,-12.540670696394702,29.191225483091692,-11.830065877139491,"3.25","1.47",,,,"97.2","2074","7.3",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.23",,,"0","1","0","0",,"33","5","4-Seam Fastball","2","2","2","2","2","2","2","2","Infield shift","Standard","221","0.014","-0.078"
"SI","2022-05-04","94.8","-1.3","5.74","Whitlock, Garrett",642180,676477,,"foul",,,,,"6","Tyler Wade strikes out swinging.","R","L","R","BOS","LAA","S",,,"2","1",2022,"-1.34","0.92","0.29","2.26",,,,"2","5","Top",,,,,"543877",,,7.312168527769504,-137.85876600284232,-5.607863806375193,-18.70752526111475,30.31851166277369,-19.393615135117923,"3.25","1.47","193","70.1","43","96.7","2077","7.4",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.09",,,,,,,,"33","4","Sinker","2","2","2","2","2","2","2","2","Standard","Standard","228","0","-0.03"
"SI","2022-05-04","96.2","-1.32","5.75","Whitlock, Garrett",642180,676477,,"ball",,,,,"11","Tyler Wade strikes out swinging.","R","L","R","BOS","LAA","B",,,"1","1",2022,"-1.16","1.22","-0.57","4.04",,,,"2","5","Top",,,,,"543877",,,4.69135733631365,-139.99538639686796,-1.753294231229469,-16.294166155922913,32.0347418886568,-15.96548595371725,"3.46","1.61",,,,"97.8","2066","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.31",,,,,,,,"33","3","Sinker","2","2","2","2","2","2","2","2","Standard","Standard","221","0","0.021"
"CH","2022-05-04","85.5","-1.25","5.93","Whitlock, Garrett",642180,676477,,"ball",,,,,"11","Tyler Wade strikes out swinging.","R","L","R","BOS","LAA","B",,,"0","1",2022,"-1.33","0.68","-1.70","3.34",,,,"2","5","Top",,,,,"543877",,,1.648088448150389,-124.48103754412239,-1.2110887933602545,-14.125537517160215,25.65828858955548,-25.048557194774304,"3.34","1.61",,,,"86.9","1997","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.27",,,,,,,,"33","2","Changeup","2","2","2","2","2","2","2","2","Standard","Standard","242","0","0.01"
"CH","2022-05-04","84.2","-1.21","5.95","Whitlock, Garrett",642180,676477,,"bunt_foul_tip",,,,,"13","Tyler Wade strikes out swinging.","R","L","R","BOS","LAA","S",,,"0","0",2022,"-1.43","0.63","-1.02","2.01",,,,"2","5","Top",,,,,"543877",,,3.342366000074628,-122.5003918476998,-4.032940402932256,-15.080246089143605,25.20254482778804,-25.23205827951591,"3.25","1.47",,,,"85.4","2031","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.33",,,,,,,,"33","1","Changeup","2","2","2","2","2","2","2","2","Standard","Standard","240","0","-0.018"
"SI","2022-05-04","93.5","-1.47","5.74","Whitlock, Garrett",545358,676477,"home_run","hit_into_play",,,,,"5","Max Stassi homers (3) on a fly ball to left center field.   Jared Walsh scores.","R","R","R","BOS","LAA","X",,"fly_ball","0","0",2022,"-1.21","0.99","-0.08","2.73",,"665120",,"2","5","Top",79.1,33.65,,,"543877",,,6.359313917057775,-136.01920374071094,-4.283174179462591,-16.350822938629925,28.69083132407237,-19.08328913810384,"3.58","1.71","424","106.9","29","95.3","1897","7.3",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.22","0.98","1.947","2","1","0","3","6","32","1","Sinker","2","0","0","2","2","2","2","2","Strategic","Standard","224","-0.23","1.788"
"FF","2022-05-04","96.7","-1.35","5.82","Whitlock, Garrett",670351,676477,"strikeout","swinging_strike",,,,,"12","Jose Rojas strikes out swinging.","R","L","R","BOS","LAA","S","2",,"0","2",2022,"-0.88","1.35","0.57","3.92",,"665120",,"1","5","Top",,,,,"543877",,,7.249061965700489,-140.61616034419046,-2.5899975609429235,-13.270200992005893,32.1971240571227,-13.92035221355937,"3.42","1.61",,,,"98.2","2119","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.3",,,"0","1","0","0",,"31","3","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","221","0.042","-0.246"
"CH","2022-05-04","85.1","-1.36","5.89","Whitlock, Garrett",670351,676477,,"swinging_strike",,,,,"8","Jose Rojas strikes out swinging.","R","L","R","BOS","LAA","S",,,"0","1",2022,"-1.34","0.8","-0.19","1.99",,"665120",,"1","5","Top",,,,,"543877",,,5.561642325611741,-123.78906446508273,-4.459500405452141,-14.928981653666177,25.297493621708327,-23.286565150245828,"3.42","1.61",,,,"86.4","2112","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.3",,,,,,,,"31","2","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","245","0","-0.069"
"CH","2022-05-04","82.5","-1.28","5.91","Whitlock, Garrett",670351,676477,,"foul",,,,,"2","Jose Rojas strikes out swinging.","R","L","R","BOS","LAA","S",,,"0","0",2022,"-1.6","0.57","0.08","2.88",,"665120",,"1","5","Top",,,,,"543877",,,6.343264715948875,-119.94294634027271,-1.4631820404331495,-16.632845991669985,23.179100561607815,-26.624918124988408,"3.42","1.61","255","91.8","20","84.2","1851","7.4",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.08",,,,,,,,"31","1","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","250","0","-0.044"
"SI","2022-05-04","95.9","-1.34","5.74","Whitlock, Garrett",665120,676477,"double","hit_into_play",,,,,"8","Jared Walsh doubles (3) on a sharp fly ball to center fielder Enrique Hernandez.","R","L","R","BOS","LAA","X","8","fly_ball","3","2",2022,"-1.11","1.46","0.22","1.75",,,,"1","5","Top",107.44,69.73,,,"543877",,,6.770320141500996,-139.30779787041615,-8.390252695987618,-16.019174355501416,31.40031499708666,-11.376025310608822,"3.52","1.66","387","103.3","27","97.6","2118","7.4",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.14","0.883","1.722","1.25","1","1","1","6","30","6","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","222","-0.05","0.376"
